,author_name,institution,position,abstract,year,publisher,category,title,subfield,first_name,name,prob_female,author_female
0,"James, Philip A. S.","['Univ York, Dept Environm, York YO10 5DD, N Yorkshire, England.']",1.0,"As part of ongoing economic reforms, the Ugandan government implemented the Plan for the Modernisation of Agriculture (PMA) targeted at reducing rural poverty. This article demonstrates the application of a stated preference method using a choice experiment conducted in 9 sub-counties to assess farmers' preferences for adaptation options and identify areas of the PMA requiring reform to improve its effectiveness. This research shows the importance of microfinance, agricultural extension systems and basic education in farmers' adaptation decisions, and highlights a crucial need to improve local engagement in decision-making. A potentially problematic contradiction between farmers' preferences and some interventions proposed under the PMA is identified.",2010.0,WILEY,Development Studies,Using Farmers' Preferences to Assess Development Policy: A Case Study of Uganda,Interdisciplinary,Philip A. S.,Philip,0.0,0.0
1,"Urban, Frauke","Univ Groningen, NL-9700 AB Groningen, Netherlands.",1.0,"Climate change adaptation and mitigation needs to cut across all poverty reduction efforts, including any post-2015 architecture. However, low carbon development (LCD) debates to date have been mainly about high- and middle-income countries. There are good reasons why even the poorest countries with low emissions might be interested in pursuing LCD. This article argues that we need to link up pro-poor policy debates with the low carbon debates as part of a post-MDG agenda. The article explores several policy responses to LCD and analyses how pro-poor these policy responses are.",2010.0,WILEY,Area Studies,The MDGs and Beyond: Can Low Carbon Development be Pro-poor?,Interdisciplinary,Frauke,Frauke,1.0,1.0
2,"Botella, Alberic","Univ Ottawa, Inst Environm, Dept Sci Terre, Ottawa, ON K1N 6N5, Canada.",1.0,"Over the coming decades, sea-level rise will increase the severity of flooding events impacting French coastal areas. Given this prospect, a sea-level rise of 60 cm by 2100 has been assumed and adopted in French regulations related to coastal flooding. The accuracy of this working hypothesis is considered here by comparing the adopted value with projections recently produced by the IPCC. Based on this comparison, it can be concluded that the risk is currently underestimated. In addition, local sea-level changes can differ significantly from the global mean because of various spatial-dependant processes: gravitational and rotational effects influencing the redistribution of melting water from glaciers and ice sheets, dynamical steric effects affecting densities locally, and isostatic effects causing vertical land movements along coastlines. French overseas territories, which have a broad global distribution, will be adversly affected by this spatial variability. In the worst-case future climate change scenario - the one of most interest to decision-makers - sea-level would rise by less than 100 cm along the French Atlantic coast, compared to nearly 120 cm in Mayotte and La Reunion. Given the two issues raised above, it is recommended that the national regulations are revised in order to reflect the most recent projections provided by the IPCC. Considering that French overseas territories are more vulnerable to flooding and could experience a more significant sea-level rise than French metropolitan coasts, it is proposed also to consider regional working hypothesis.",2016.0,TAYLOR & FRANCIS LTD,Water Resources,Regional projections of Sea-level Rise in French Overseas Territories,Geography,Alberic,Alberic,0.0,0.0
3,"Priyadarshan, P. M.","Rubber Res Inst India Erstwhile, 9 Neelanjali,Chirakkara Temple Rd, Thiruvananthapuram 695018, Kerala, India.",1.0,"Hevea brasiliensis (Willd. Ex. A. de. Juss. Muell-Arg.) is the prime source of natural rubber. Domestication of rubber began since 1876 with Wickham collecting 70,000 seeds from Upper Amazon and transported them to Kew Botanic Gardens. Somehow, rubber trees covering millions of hectares are believed to be derived from ""22 seedlings"" of Wickham's original stock. Improving dry rubber yield is the exclusive and ultimate objective of Hevea breeding with consistent yield of 70 to 80 g/tree/tapping. Ultimately, in a small holding, a planter must gain an average yield of around 2200 to 2400 kg/ha from his stand (under optimal conditions), after accommodating tree-to-tree variations due to stock-scion interactions and soil heterogeneity. This is arduous, but achievable. Initial production of high-yielding clones gave 1600 kg/ha against 496 kg/ha of unselected seedlings. Adaptation and yielding potential of clones to specific environments are optimized through localized experimentation. Studies on adaptation of clones to new environments, especially to sub-optimal or marginal areas, are gaining momentum. As this extension happens, demand for new clones is on the rise. Possibilities of using rubber trees for reforestation, carbon sequestration and application of genomics in deriving climate resilient clones may come up in future, which breeders may have to take up with required priority. Five major methodologies followed are (a) primary clones and seed gardens, (b) derivation of recombinants and clone selection, (c) genetic analysis and variability management (d) early selection and estimation of genetic value and (e) application of genomics. Primary clones have immensely contributed in exploiting heterosis and production of new clones. For evaluation of recombinants, families are to be raised in closer spacing (2 or 3 m) and allowed to attain tappable girth for evaluation. While a normal breeding cycle takes 35 to 40 years, through skipping SSCTs and LSCTs, the scheme proposed can derive a clone in 17 years. Recent advances like transcriptome sequencing of bark and EST sequences generated from suppression subtractive hybridization-cDNA libraries could facilitate marker-assisted selection that could very well be used for selecting high-yielding genotypes at juvenile stage. Paternity identification can be done through breeding without breeding (BwB) in half-sibs and poly-cross (open pollinated) seedlings. Transcriptome studies have to come a long way to yield meaningful results to tag vivid genes responsible for QTLs, resistance and other quality traits, especially markers for cold/drought stress. It is opined that instead of subjecting plants for artificial cold/drought conditions, plants continuously exposed to such stress conditions must be used for analyses that can give a comprehensive indication of stress tolerance. The application of genotyping-by-sequencing (GBS) technique to simultaneously discover and delineate single nucleotide polymorphism (SNP) markers is a robust and cost-effective approach for generating a common set of genome-wide SNP data suitable for constructing integrated linkage maps from multiple populations. Studies on mitochondrial and chloroplast DNAs are welcome steps towards understanding ATP efficiency of accessions that need to be augmented further, so that clones with higher ATP efficiency can be used for breeding. Such innovative techniques shall govern breeding Hevea rubber in the future, only when breeders and genomic specialists are working in tandem.",2017.0,SPRINGER HEIDELBERG,Forestry,Refinements to Hevea rubber breeding,Environmental studies & forestry,P. M.,,,
4,"Muller, Scott A.","CODESTA, Panama City, Panama.",1.0,"Climate change is one of the defining issues for human well-being in the 21st century. As several dermatological diseases have a high sensitivity to climate and ecologic change, dermatologists will have an increasingly important role in public health affairs. The International Society of Dermatology's (ISD) establishment of a task force to track the impact of climate change on the incidence of dermatologic conditions is an example of scientific monitoring critical to future interdisciplinary adaptation and decision making to improve human well-being.",2011.0,WILEY,Dermatology,"Climate change, dermatology and ecosystem services; trends and trade-offs",Medicine,Scott A.,Scott,0.0,0.0
5,"Donner, Simon D.","Univ British Columbia, Geog, 1984 West Mall, Vancouver, BC V6T 1Z2, Canada.",1.0,"The long-term threat of sea-level rise to coral atoll and reef island communities in Kiribati, Tuvalu and other nations has raised the possibility of international migration. Historical resettlements in the Pacific may provide valuable insight into the long-term effect of future climate change-related migration on communities. This study evaluates the challenges faced by Gilbertese people resettled from modern-day Kiribati to Ghizo in the Solomon Islands by the British colonial administration in the mid-1900s. Drawing upon field interviews (n = 45) conducted in 2011 and the available historical literature, the study examines the circumstances of the initial failed resettlement in the equatorial Phoenix Islands, the subsequent relocation to Ghizo, and the recent concerns of the Gilbertese in Ghizo. Focus is placed on the struggle to recover from the 2007 tsunami that devastated the unprepared community. The analysis reveals that uncertainty about land tenure (raised by 61% of respondents) persists 60 years after resettlement, and is linked to the ability to recover from the tsunami, tensions with the Melanesian population, concerns over political representation, cultural decline, and education and employment opportunities. The Gilbertese experience can serve as a cautionary tale for policymakers considering mechanisms for facilitating climate change-related migration.",2015.0,WILEY,Environmental Sciences & Ecology,The legacy of migration in response to climate stress: learning from the Gilbertese resettlement in the Solomon Islands,Environmental studies & forestry,Simon D.,Simon,0.0,0.0
6,"Fernandez, Roberto J.","Univ Buenos Aires, Fac Agron, IFEVA, CONICET, Av San Martin 4453,C1417DSE, Buenos Aires, DF, Argentina.",1.0,"This paper is intended for young researchers with an environmental conscience, alerting them that a self-centred ecology can work against conservation and other desirable goals. I propose that there is confusion in the biophysical ecologists' community about the role of knowledge, stemming from several already surpassed beliefs that have been strongly criticized by scholars in the field of science and technology studies. In particular, environmental scientists still often seem trapped in the information deficit model, assuming a linear and unidirectional flow of knowledge from experts to users. This leads to an incomplete understanding and unrealistic expectations of ongoing processes of citizen participation (co-production of knowledge), impatience regarding the speed at which issues can be dealt with by politics, and a fuzzy notion of the role of our convictions regarding the value of nature conservation when we are consulted as experts. I analyse the consequences of disregarding tacit knowledge, i.e. the one knowledge beyond that codified in academic papers and books. I emphasize that preferences and values have a large influence on how we perceive, process, and act (or postpone to act) on information on our non-exclusive roles as scientists, decision makers or citizens. I argue that this is why political and ideological preferences have a large influence not only on which teams are appointed to solve problems, but also on which situations are perceived as problematic and given higher priorities. I include a cheat-sheet to enhance communication with decision-makers and other non-scientists that could prevent environmental zeal to be transformed into society's annoyance and our eventual irrelevance. I plea for a more realistic attitude towards ecological research, highlighting that in environmental debates we are also long-term stakeholders, and not only casual, external and aseptic observers. (C) 2016 Elsevier Ltd. All rights reserved.",2016.0,ELSEVIER SCI LTD,Environmental Sciences & Ecology,How to be a more effective environmental scientist in management and policy contexts,Environmental studies & forestry,Roberto J.,Roberto,0.0,0.0
7,"Altinbilek, D","['State Hydraul Works DSi, TR-06100 Ankara, Turkey.']",1.0,"Dams are a major issue in sustainable management of finite water resources; they have also become the subject of vigorous public debate. This article considers them in the light of the report of the World Commission on Dams and using the example of Turkey. It is argued that economic development and population growth, particularly in arid and semi-arid regions, make plain the need for dams for hydropower and irrigation, Environmental impact assessment is essential, as are effective programmes for resettlement to avoid the impoverishment of displaced people.",2002.0,I W A PUBLISHING,Engineering,The role of dams in development,Engineering & technology,D,,,
8,"Davalos-Sotelo, Raymundo","Inst Ecol, Red Ambiente & Sustentabilidad, AC, Xalapa, Veracruz, Mexico.",1.0,"The enormous needs of material goods and services that humanity has can only be met with the use of natural resources. This exploitation exerts a great impact on these resources, implying large impacts on the ecosystems. To preserve part of natural resource areas so that they are not altered significantly, the concept of protected natural areas (PNA) was originated. This paper is an analysis and discussion of the natural protected areas located in coastal areas and more specifically, the wetlands areas. These natural areas are protected by the Ramsar Convention. Mangroves are wetlands highly vulnerable to degradation and protected mangroves often come into conflict with local communities and other resource users. The scheme which has proven to be more appropriate to seek a balance between the parties is the creation and maintenance of protected reserves. On the subject of mangroves and wetlands of Tropical America, Ariel Lugo and collaborators have made important contributions, some of which are highlighted here. His works have served as reference for studies and research which are the scientific support for the creation and/or management of protected wetlands under the Ramsar Convention in countless countries. The conservation work undertaken by Governments and local communities which are based on information provided by the scientists are the best bet of the world to preserve their natural resources and maintain hopes of a better future for the inhabitants of the planet.",2016.0,INST ECOLOGIA A C,Forestry,The role of scientific research in the creation of natural protected areas,Environmental studies & forestry,Raymundo,Raymundo,0.0,0.0
9,"Wong, Sam","Univ Liverpool, Geog & Planning, Liverpool L36 5RY, Merseyside, England.",1.0,"Climate finance helps mobilise additional development funds to help developing countries reduce CO2 emissions and local communities adapt to changing climate. Increasingly, however, concerns have been raised about the implications of climate finance on gender equity. Drawing on the contextual-procedural-distributive' equity framework, this paper conducts an extensive review of literature on forest sequestration, climate-smart agriculture and disaster management. It indicates that the effectiveness of climate finance is constrained from a lack of awareness of the gender gap in access to land and capital. To maximise the impact of climate finance, it urges policy makers to tackle deeply rooted structural inequalities. (c) 2016 UNU-WIDER. Journal of International Development published by John Wiley & Sons, Ltd.",2016.0,WILEY,Development Studies,Can Climate Finance Contribute to Gender Equity in Developing Countries?,Interdisciplinary,Sam,Sam,0.0,0.0
