number;topicname
1;Australia
2;Brazil
3;Wildfires
4;Coral Reefs
5;Flood Response
6;Water Management
7;Genomic Analysis
8;Energy Demand in Buildings
9;Forestry
10;Health
11;Process Optimisation
12;Resilience
13;CDM
14;Lakes
15;Health Impacts
16;LCA
17;US
18;Ski Tourism
19;Drought Response
20;Urbanism
21;Food Security
22;Global Warming
23;Genetic Diversity
24;Emissions
25;Vulnerability
26;Plant Breeding
27;Sea Level
28;Groundwater
29;Temperature
30;CO2
31;Precipitation
32;Technology Transfer
33;Insurance
34;Smallholder Farmers
35;Biodiversity Conservation
36;Stress Tolerance in Plants
37;Adaptation
38;Soil
39;Mobility
40;Risk Management
41;Coastal Erosion
42;Arctic Change
43;Air Pollution
44;Governance Framework
45;Impacts
46;Land Use
47;Resilient Cities
48;Corporate Governance
49;Diseases
50;Local Knowledge
51;Oceans
52;Agroforestry
53;Ecological Restoration
54;Models and Scenarios
55;Irrigation Scheduling
56;Island Territories
57;Hazardous Area Mapping
58;Sustainable Water Supply
59;Streamflow
60;Livestock
61;Natural Resource Management
62;Mangroves
63;Low-Carbon Power Systems
64;Radiation Flux
65;Economic Growth
66;45
67;Grain Yields
68;Invasive Species
69;Sustainable Agricultural Practices
70;Information
71;Crop Yields
72;Protected Areas
73;52
74;Agricultural Practices
75;Mitigation
76;Crop Diversification
77;Energy Portfolio
78;57
79;Africa
80;Finance
81;Public Perception
82;Stormwater
83;Rural Households
84;Fisheries
85;Climate Change
86;Adaptive Planning
87;SDGs
88;Ecosystem Services
89;Disaster Response
90;Big Data and ML
91;Transformation Discourse
92;Carbon Sequestration
93;Ecophysiology
94;Vegetation in China
95;Green Urban Spaces
96;Contamination
97;Forest Management
98;Adaptive Systems
99;Carbon Stocks
100;South and Southeast Asia
101;Community
102;Policy
103;82
104;Heat Stress
105;Innovative Farm Systems
106;Coastal Management
107;Uncertainty
108;87
109;Solutions
110;Seasonality and Plant Response
111;Modelling
112;Temporal Dynamics
113;Regional Observations
114;Fuels
115;Spatial Analysis
116;Extreme Weather Events
117;Runoff Dynamics
118;Social Capital
119;Migration
120;Peatlands
