number;topicname;climatejustice
1;Australia;0
2;Brazil;0
3;Wildfires;0
4;Coral Reefs;0
5;Flood Response;0
6;Water Management;0
7;0;0
8;Energy Demand in Buildings;0
9;Forestry;0
10;Health;0
11;0;0
12;Resilience;1
13;CDM;0.5
14;0;0
15;Health Impacts;0
16;0;0
17;US;0
18;Ski Tourism;0
19;Drought Response;0
20;Urbanism;0
21;Food Security;1
22;Global Warming;0
23;Genetic Diversity;0
24;0;0
25;Vulnerability;1
26;Plant Breeding;0
27;Sea Level;0
28;Groundwater;0
29;Temperature;0
30;0;0
31;Precipitation;0
32;Technology Transfer;0
33;Loss & Damage;0.5
34;Smallholder Farmers;0
35;Biodiversity Conservation;0
36;Stress Tolerance in Plants;0
37;Adaptive Capacity;0.5
38;Soil;0
39;Mobility;0
40;Risk Management;0
41;Coastal Erosion;0
42;Arctic Change;0
43;0;0
44;Governance;1
45;Impacts;0
46;Land Use;0
47;Resilient Cities;0
48;0;0
49;Diseases;0
50;Local Knowledge;1
51;0;0
52;Agroforestry;0
53;Ecological Restoration;0
54;Models and Scenarios;0
55;Irrigation Scheduling;0
56;Island Territories;1
57;Hazardous Area Mapping;0
58;Sustainable Water Supply;0
59;Streamflow;0
60;Livestock;0
61;Natural Resource Management;0
62;Mangroves;0
63;0;0
64;0;0
65;0;0
66;45;0
67;Grain Yields;0
68;Invasive Species;0
69;Sustainable Agricultural Practices;0
70;Information;0
71;Crop Yields;0
72;Protected Areas;0
73;52;0
74;Agricultural Practices;0
75;0;0
76;Crop Diversification;0
77;0;0
78;57;0
79;Africa;1
80;Climate Finance;1
81;Public Perception;0
82;Stormwater;0
83;Rural Households;1
84;Fisheries;0
85;Climate Change;0
86;Adaptive Planning;0
87;SDGs;0
88;Ecosystem Services;0
89;Disaster Response;1
90;Big Data and ML;0
91;Transformation Discourse;1
92;0;0
93;Ecophysiology;0
94;Vegetation in China;0
95;Green Urban Spaces;0
96;0;0
97;Forest Management;0
98;Adaptive Systems;0
99;0;0
100;0;0
101;Community;1
102;Policy;0
103;82;0
104;Heat Stress;0
105;Innovative Farm Systems;0
106;Coastal Management;0
107;Uncertainty;0
108;87;0
109;Solutions;0
110;Seasonality and Plant Response;0
111;Modelling;0
112;Temporal Dynamics;0
113;Regional Observations;0
114;0;0
115;Spatial Analysis;0
116;Extreme Weather Events;0
117;Runoff Dynamics;0
118;Social Capital;1
119;Migration;1
120;0;0
