"","vocab"
"1","australia australian sic_sic sic organis queensland murray-darl new south across"
"2","brazil de el la amazon brazilian oscil al et enso"
"3","fire wildfir disturb regim burn increas veget sever fuel prescrib"
"4","coral reef stressor bleach local multipl increas declin great climat_stressor"
"5","flood flood_manag flood_flood increas damag risk_flood measur chang_flood climat_flood flood_climat"
"6","water resourc water_water water_manag avail scarciti chang_water climat_water water_climat water_chang"
"7","gene express genom protein adapt regul molecular sequenc respons metabol"
"8","build effici residenti hous consumpt construct use perform demand code"
"9","forest deforest forestri redd tropic forest_forest chang_forest forest_climat climat_forest forest_chang"
"10","health public human climat_health health_climat care chang_health health_chang mental health_health"
"11","perform optim oper propos method evalu result studi effici use"
"12","resili resili_chang enhanc resili_climat adapt_resili framework resili_system climat_resili chang_resili capac"
"13","develop project climat_develop chang_develop develop_climat develop_chang programm develop_adapt mechan cdm"
"14","lake freshwat aquat level great water bloom chang eutroph inland"
"15","mortal associ death effect increas 95 exposur studi ci risk"
"16","environment assess life cycl impact wast use studi life_assess materi"
"17","state program unit us california u. across feder usa mexico"
"18","strategi measur option tourism climat_strategi chang_strategi adapt strategi_climat strategi_chang adapt_strategi"
"19","drought sever index condit climat_drought drought_drought chang_drought drought_climat indic drought_water"
"20","urban area climat_urban urban_urban urban_climat chang_urban urban_chang urban_manag growth environ"
"21","food secur insecur nutrit diet climat_food chang_food food_climat chang_secur increas"
"22","global warm degre global_chang increas climat_global 1.5 world global_climat chang_global"
"23","popul genet divers local variat among differenti adapt popul_climat demograph"
"24","emiss greenhous gas reduct greenhous_emiss ghg reduc reduc_emiss gase target"
"25","vulner assess capac indic vulner_chang exposur index vulner_climat sensit climat_vulner"
"26","seed breed varieti genet trait select improv genotyp program hybrid"
"27","rise level sea sea-level sea_rise slr beach inund chang_rise chang_level"
"28","groundwat aquif recharg surfac resourc deplet use storag level water"
"29","temperatur degre thermal increas warm cold effect higher increas_temperatur temperatur_degre"
"30","co2 elev increas atmospher concentr effici effect wue respons chang"
"31","precipit variabl rainfal trend annual increas signific season indic period"
"32","technolog adopt innov transfer new diffus mechan role promot modern"
"33","cost loss damag econom insur valu invest benefit estim reduc"
"34","farmer smallhold percept adopt studi farmer_climat factor use strategi farmer_chang"
"35","conserv biodivers habitat connect prioriti current threaten wildlif threat loss"
"36","stress toler abiot respons physiolog level antioxid activ respons_stress condit"
"37","adapt climat_adapt adapt_chang adapt_climat chang capac chang_adapt climat adapt_adapt barrier"
"38","soil eros moistur soc organ soil_soil soil_carbon content depth degrad"
"39","infrastructur transport engin road vehicl network safeti travel facil mobil"
"40","risk reduct climat_risk risk_climat risk_chang disast_reduct chang_risk adapt_risk risk_risk risk_adapt"
"41","wetland sediment marsh estuari bay tidal sand floodplain salt eros"
"42","chang interact shift driver dynam canada arctic anthropogen understand ice"
"43","qualiti pollut air ozon concentr matter sourc particul improv quantiti"
"44","govern institut capac actor organ level collabor role case process"
"45","impact impact_chang climat_impact negat impact_climat potenti chang_impact effect assess affect"
"46","land use chang cover land-us land_chang use_chang land_land chang_use chang_land"
"47","citi citi_climat climat_citi settlement chang_citi adapt_citi new citi_chang metropolitan citi_citi"
"48","sector industri market privat financi busi chain regul regulatori compani"
"49","diseas control covid-19 pest pandem outbreak transmiss infect pathogen malaria"
"50","local knowledg indigen stakehold participatori tradit particip practic process scienc"
"51","ocean marin acidif metabol sea antarct oxygen chang respons organ"
"52","agroforestri tree coffe america shade cocoa latin cultiv agroecolog colombia"
"53","ecolog landscap restor function natur degrad divers structur scale can"
"54","scenario futur project climat chang climat_scenario increas use futur_chang pathway"
"55","irrig water use effici water_irrig requir irrig_water increas area deficit"
"56","island small pacif territori reloc state caribbean small_state sid island_state"
"57","map hazard area assess gis landslid use high potenti geograph"
"58","suppli demand wastewat harvest treatment rainwat sourc reus drink use"
"59","hydrolog flow reservoir watersh catchment streamflow dam runoff stream discharg"
"60","product livestock increas produc feed anim graze chang_product product_climat increas_product"
"61","manag resourc manag_climat manag_chang chang_manag adapt_manag practic climat_manag manag_adapt integr_manag"
"62","india mangrov blue indian indonesia rehabilit studi seagrass philippin pradesh"
"63","power electr generat solar capac cost hydropow plant storag increas"
"64","surfac evapotranspir atmospher observ flux radiat cycl et climat scheme"
"65","econom growth china economi trade effect consumpt countri tax analysi"
"66","environment respons adapt environ plastic condit variat trait chang phenotyp"
"67","yield wheat grain maiz cultivar growth sow potenti condit use"
"68","speci distribut habitat rang invas bird abund potenti suitabl nich"
"69","fertil nutrient nitrogen practic increas applic use field reduc tillag"
"70","inform forecast use provid climat user warn earli can need"
"71","rice yield maiz climat chang product effect chang_yield adapt climat_yield"
"72","protect area park natur nation effect human marin_area recreat within"
"73","right elsevi reserv elsevi_right elsevi_reserv ltd ltd_reserv b.v b.v_reserv publish"
"74","agricultur practic climat_agricultur chang_agricultur agricultur_climat agricultur_chang climate-smart csa adapt_agricultur impact_agricultur"
"75","mitig climat climat_mitig chang mitig_chang mitig_climat effect chang_mitig potenti ipcc"
"76","crop climat_crop soybean crop_climat crop_crop chang_crop cultiv corn crop_use major"
"77","energi renew wind transit energi_energi sourc climat_energi chang_energi energi_climat speed"
"78","research review literatur scienc studi systemat scientif gap focus futur"
"79","africa south asia african east west sub-saharan southern countri korea"
"80","countri nation intern climat financ agreement fund framework pari convent"
"81","percept public communic chang awar perceiv action engag concern support"
"82","drainag rainfal stormwat runoff storm control lid infiltr effect intens"
"83","household livelihood rural poverti cope incom studi access villag shock"
"84","fish fisheri marin aquacultur fisher small-scal salmon stock catch increas"
"85","climat chang climat_climat chang_climat climat_chang chang_chang effect_chang effect climat_studi chang_studi"
"86","plan action municip climat_plan chang_plan plan_chang plan_climat plan_adapt adapt_plan strateg"
"87","sustain goal achiev sustain_manag resourc nexus sustain_goal toward chang_sustain integr"
"88","ecosystem servic provid provis chang_ecosystem natur regul es valu human"
"89","disast natur bangladesh hazard peopl cyclon prepared hurrican recoveri respons"
"90","data use monitor method estim observ remot sens use_data indic"
"91","polit transform articl argu conflict justic way frame discours practic"
"92","carbon sequestr storag potenti offset sink afforest net dioxid carbon_carbon"
"93","plant leaf root water growth stomat respons differ condit conduct"
"94","china veget plateau area chang increas grassland index arid ndvi"
