,id,comp-1,comp-2,first_author_female,last_author_female,majority_female_binary,topic,climatejusticescore
0,20,-6.8270116,43.530376,unknown,unknown,unknown,Topic68,0.09079693776686351
1,108,13.140246,20.787085,1.0,0.0,unknown,Topic78,0.27280201599344556
2,157,32.998978,20.011883,0.0,0.0,0.0,Topic91,0.44095332644426843
3,195,20.072718,5.68452,1.0,1.0,1.0,Topic45,0.2943100104344696
4,222,-6.7354164,-18.007849,1.0,1.0,1.0,Topic108,0.04538461213644402
5,278,9.502074,32.403603,0.0,1.0,unknown,Topic84,0.1185016280045795
6,300,-19.666216,-34.238743,0.0,0.0,0.0,Topic6,0.011134503976444183
7,332,-18.033579,-2.089329,1.0,1.0,0.5,Topic54,0.15590623164626413
8,483,26.54426,17.494967,1.0,0.0,0.5,Topic119,0.44573924438490586
9,694,26.6925,10.14392,1.0,0.0,unknown,Topic37,0.260235529008214
10,728,-31.043152,-5.9439383,0.0,0.0,0.0,Topic54,0.0465798174799868
11,745,18.939108,-22.647532,unknown,0.0,unknown,Topic115,0.1037454336402707
12,830,-17.86047,5.7728853,unknown,unknown,unknown,Topic94,0.25796471382767044
13,880,33.62942,-27.550573,0.0,unknown,0.0,Topic103,0.22402877608362015
14,992,1.4984487,12.1333475,0.0,0.0,0.0,Topic88,0.30111023180173574
15,1017,42.987904,-16.763744,unknown,1.0,unknown,Topic83,0.5352999978011724
16,1122,15.064802,-7.835945,0.0,0.0,0.0,Topic107,0.232684939043539
17,1173,37.872524,5.0536914,1.0,unknown,1.0,Topic91,0.366114154865545
18,1262,-20.180485,-31.929853,0.0,0.0,0.0,Topic6,0.06295294700908441
19,1311,2.7489848,-36.933956,0.0,unknown,unknown,Topic114,0.005167773896776363
20,1378,-12.449144,32.18096,1.0,0.0,0.0,Topic68,0.05152540957252211
21,1406,-4.6860127,-53.99159,0.0,1.0,0.5,Topic16,0.01557922012028235
22,1638,-39.289463,14.377071,unknown,0.0,unknown,Topic36,0.1025211574344927
23,1682,27.771667,-5.1688676,0.0,0.0,0.0,Topic12,0.7552350833513082
24,1697,10.686835,35.169243,0.0,0.0,0.0,Topic84,0.06191416280530561
25,1731,2.9715848,22.76421,1.0,0.0,unknown,Topic61,0.052768379422077294
26,1795,-23.642553,-20.388247,0.0,0.0,0.0,Topic111,0.1088594316982365
27,2085,-43.09533,5.550723,1.0,0.0,0.5,Topic94,0.0809815174933863
28,2092,-29.937689,-12.411224,0.0,0.0,0.5,Topic111,0.0437354671168391
29,2382,-6.9754467,29.538092,0.0,1.0,0.0,Topic2,0.2871448581524711
30,2392,13.297225,6.3158355,1.0,0.0,0.0,Topic78,0.19464397713029802
31,2563,-11.020197,-4.341399,1.0,0.0,0.0,Topic71,0.1697184189904494
32,2595,-10.05276,15.026617,0.0,0.0,0.0,Topic80,0.19733163438479692
33,2639,6.0435233,6.6872416,0.0,0.0,0.0,Topic109,0.3449186001715746
34,2641,-27.112366,-32.018223,1.0,1.0,0.5,Topic55,0.01204560573255875
35,2661,4.910075,-40.664337,0.0,unknown,unknown,Topic77,0.1010914449544536
36,2670,-12.418604,-26.77624,1.0,unknown,unknown,Topic87,0.3623110005030847
37,2680,-6.649658,57.103977,0.0,0.0,0.0,Topic3,0.020969072155518704
38,2780,8.1344,7.771441,1.0,unknown,unknown,Topic44,0.23801212274129396
39,2797,-22.390816,17.545372,0.0,0.0,0.0,Topic38,0.0999394860865232
40,2817,23.533302,5.502658,1.0,0.0,0.5,Topic37,0.22989019729056126
