,12,21,25,37,44,50,56,80,83,91,101,118,119,climatejusticescore
,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum,sum
X1_region,,,,,,,,,,,,,,
East Asia & Pacific,73.27754889483035,56.80641925584843,107.58494250303724,187.30518276294202,113.44191480682875,92.94392957443421,36.52858972033311,93.8060713878062,82.90063728527579,147.67780031137966,63.20211657888469,53.86413502994359,134.03468792808647,1306.6452676703439
Europe & Central Asia,100.05414005715653,85.45801731081436,127.57953562510565,340.86102110064525,237.67683006897485,178.71996871572517,40.89632002037936,211.77729664180063,82.30476692239957,387.7076904036466,72.38308180697237,89.30526693373625,239.76464481976748,2224.632528159211
Latin America & Caribbean,9.890626213986494,11.570141398801267,24.599814502586366,29.014931692627137,22.353230476235534,19.669333263141073,6.898463837699823,16.70213339512953,10.650546332220125,22.387817195294087,9.864715248431555,11.172402103261758,21.610725597935666,224.09066199228832
Middle East & North Africa,6.256225010575592,6.061068748456306,14.948497915442053,14.389655382309522,5.057500571837458,4.833016982571237,1.4850958449179936,5.948323906011008,7.494562638130102,5.624559796492856,3.6678571709218803,4.660092057025869,7.260618122947935,91.99847805379824
North America,84.62973953034545,59.64555909415249,109.63078740021125,225.49036038906712,146.18628321787287,129.3158469817042,30.107362432613574,92.10640771428713,57.03029646319926,237.4980306949555,88.15293647832979,67.68071040049075,198.9612714344438,1559.0762934962618
South Asia,11.451565430403445,15.653112964930123,45.576127527584894,36.34794447023365,16.236344524889233,17.872612223887494,2.072375577413002,19.384079610968648,44.44350919403635,15.155402529817604,15.432837569831298,7.391417838138243,18.087591503674997,284.7410249230237
Sub-Saharan Africa,15.02130672590674,28.179154597292694,33.67118465340412,57.57645041029526,30.533239672437347,35.66543642742638,2.3088356930711305,25.23245346471183,74.14193767660218,26.276694937623372,19.633938933053912,10.245056609279933,27.304000309668336,376.30757699684716
Unknown,22.86577665595522,21.671141685932984,41.5320183049688,97.79301234722145,70.54025494411412,44.50940045412603,11.308019018730475,93.94675875480232,34.38973994530987,140.85728734140784,24.112698762054347,31.335035937207234,97.7775188434868,739.9182488359875
